id,province_code,city_code,district_code,village_code,village,created_at,updated_at
1,11,1101,110102,1101022009,PULO KAMBING,,
2,11,1102,110204,1102042011,KAMPUNG MELAYU GABUNGAN,,
3,11,1101,110101,1101012017,GAMPONG BARO,,
4,11,1102,110204,1102042012,TERUTUNG PEDI,,
5,11,1101,110102,1101022019,KEDAI PADANG,,
6,11,1101,110102,1101022007,SIMPANG EMPAT,,
7,11,1101,110106,1101062014,UJUNG KAMPUNG,,
8,11,1101,110102,1101022020,KOTAFAJAR,,
9,11,1111,111103,1111032047,PAYA TIMU,,
10,11,1101,110102,1101022014,KAMPUNG TINGGI,,
11,11,1101,110102,1101022015,RUAK,,
12,11,1105,110510,1105102011,COT LAGAN LM,,
13,11,1111,111104,1111042042,GEUDONG TAMPU,,
14,11,1101,110102,1101022016,SIMPANG LHEE,,
15,11,1101,110103,1101032006,PULO IE,,
16,11,1101,110103,1101032005,KAPEH,,
17,11,1101,110103,1101032002,RANTAU BINUANG,,
18,11,1101,110103,1101032008,KEDAI KANDANG,,
19,11,1102,110205,1102052005,SALANG ALAS,,
20,11,1111,111104,1111042047,COT KEUTAPANG,,
21,11,1101,110103,1101032014,GEULUMBUK,,
22,11,1101,110103,1101032016,UJUNG PADANG,,
23,11,1103,110312,1103122025,MATANG NIBONG,,
24,11,1101,110104,1101042006,UJUNG BATU,,
25,11,1101,110104,1101042010,CACANG,,
26,11,1105,110510,1105102018,PASI MALI,,
27,11,1101,110104,1101042009,KOTA PALAK,,
28,11,1101,110105,1101052006,BUKET MEUH,,
29,11,1101,110104,1101042013,HULU PISANG,,
30,11,1101,110104,1101042011,TENGAH PISANG,,
31,11,1101,110104,1101042016,PADANG BARU,,
32,11,1101,110105,1101052002,KUTA BULOH I,,
33,11,1101,110105,1101052005,JAMBO PAPEUN,,
34,11,1102,110205,1102052009,KUTA PASIR,,
35,11,1101,110105,1101052008,ROT TEUNGOH,,
36,11,1107,110704,1107042017,JAMBEE,,
37,11,1101,110105,1101052013,BLANG TEUNGOH,,
38,11,1101,110105,1101052017,KUTA BARO,,
39,11,1101,110107,1101072012,BLANG GEULINGGANG,,
40,11,1101,110105,1101052018,TANJUNG HARAPAN,,
41,11,1111,111104,1111042054,COT BADA,,
42,11,1101,110105,1101052021,ALUE MEUTUAH,,
43,11,1111,111104,1111042061,BLANG MEE,,
44,11,1102,110202,1102022027,GELAH MUSARA,,
45,11,1101,110106,1101062005,LADANG PANTON LUAS,,
46,11,1111,111105,1111052035,KAPA,,
47,11,1111,111105,1111052059,PULO UE BAROE,,
48,11,1101,110106,1101062018,SUAQ HULU,,
49,11,1108,110811,1108112002,BIE,,
50,11,1101,110106,1101062016,LUAR,,
51,11,1101,110107,1101072003,MEULIGO,,
52,11,1101,110106,1101062024,AIR SIALANG HILIR.,,
53,11,1101,110106,1101062025,AIR SIALANG HULU,,
54,11,1101,110106,1101062027,BALAI,,
55,11,1102,110202,1102022028,MULIE DAME,,
56,11,1101,110107,1101072010,SIMPANG TIGA,,
57,11,1106,110610,1106102013,PASIE LUBUK,,
58,11,1101,110107,1101072007,TRIENG MEUDURO BAROH,,
59,11,1102,110203,1102032006,PINDING,,
60,11,1101,110108,1101082001,LHOK KEUTAPANG,,
61,11,1102,110203,1102032009,TERUTUNG MEGARA ASLI,,
62,11,1101,110108,1101082002,HILIR,,
63,11,1101,110108,1101082005,JAMBO APHA,,
64,11,1101,110108,1101082003,PADANG,,
65,11,1108,110807,1108072013,TEUMPOK TEUNGKU,,
66,11,1111,111108,1111082003,PANDRAH KANDEH,,
67,11,1111,111110,1111102033,BUGAK BLANG,,
68,11,1101,110108,1101082013,PANJUPIAN,,
69,11,1111,111110,1111102034,BUGAK MESJID,,
70,11,1112,111204,1112042028,COT MANCANG,,
71,11,1101,110112,1101122004,KUTA IBOH,,
72,11,1101,110109,1101092006,KUTA BARO,,
73,11,1101,110110,1101102007,LADANG TUHA,,
74,11,1101,110109,1101092015,SEUNEUBOK JAYA,,
75,11,1101,110110,1101102004,KAMPUNG BARU,,
76,11,1101,110110,1101102003,SILOLO,,
77,11,1101,110110,1101102002,PUCOK KRUENG,,
78,11,1111,111110,1111102046,ALUE BIE PUSONG,,
79,11,1101,110110,1101102009,UJONG BATEE,,
80,11,1101,110110,1101102010,LHOK SIALANG CUT,,
81,11,1101,110110,1101102013,PASIE RASIAN,,
82,11,1101,110110,1101102015,KRUENG KALEE,,
83,11,1101,110110,1101102016,LHOK SIALANG RAYEUK,,
84,11,1101,110110,1101102017,GAMPONG BARO,,
85,11,1107,110704,1107042027,KEURUMBOK,,
86,11,1111,111114,1111142020,KUALA RAJA,,
87,11,1101,110110,1101102021,PANTE RAJA,,
88,11,1101,110111,1101112005,LIMAU SARING,,
89,11,1101,110111,1101112008,GUNUNG ROTAN,,
90,11,1111,111115,1111152007,COT ANEUK BATEE,,
91,11,1101,110112,1101122007,BLANG POROH,,
92,11,1111,111117,1111172010,PALOH PEURADI,,
93,11,1101,110112,1101122010,IKU LHUENG,,
94,11,1101,110112,1101122008,PULO  IE,,
95,11,1101,110112,1101122009,SUAK LOKAN,,
96,11,1102,110205,1102052032,BADAR INDAH,,
97,11,1101,110111,1101112012,SAWANG INDAH,,
98,11,1102,110203,1102032016,TUALANG SEMBILAR,,
99,11,1102,110203,1102032014,TERUTUNG PAYUNG HULU,,
100,11,1101,110113,1101132005,KOTO INDARUNG,,
101,11,1101,110113,1101132004,MALAKA,,
102,11,1106,110618,1106182015,BLANG PREH,,
103,11,1101,110113,1101132010,LAWE MELANG,,
104,11,1101,110114,1101142007,PUCUK LEMBANG,,
105,11,1101,110114,1101142002,SAPIK,,
106,11,1101,110116,1101162011,ALUR BUJOK,,
107,11,1102,110203,1102032018,KUNING II,,
108,11,1101,110115,1101152004,SAWAH TINGKEUM,,
109,11,1102,110206,1102062026,LAWE DESKY JAYA,,
110,11,1101,110117,1101172002,RAMBONG,,
111,11,1101,110117,1101172001,BUKET GADENG,,
112,11,1102,110203,1102032021,RIKIT,,
113,11,1102,110203,1102032020,LIKAT,,
114,11,1102,110204,1102042027,MBARUNG DATUK SAUDANE,,
115,11,1104,110413,1104132005,CIBRO,,
116,11,1102,110201,1102012006,KUBU,,
117,11,1102,110201,1102012004,PASIR BANGUN,,
118,11,1102,110201,1102012001,ENGKERAN,,
119,11,1102,110201,1102012002,RUMAH KAMPUNG,,
120,11,1102,110201,1102012007,LAWE KONGKER,,
121,11,1102,110201,1102012009,MUARA BARU,,
122,11,1102,110201,1102012013,KUTA BATU II,,
123,11,1102,110201,1102012012,KUTA CINGKAM I,,
124,11,1102,110203,1102032025,LAWE KIHING,,
125,11,1102,110203,1102032026,TERUTUNG SEPERAI,,
126,11,1102,110203,1102032027,KUTE SERI,,
127,11,1102,110201,1102012022,PAYE MUNJE,,
128,11,1102,110201,1102012027,LAWE KONGKER HILIR,,
129,11,1102,110203,1102032028,KUTA ANTARA,,
130,11,1102,110202,1102022008,SUKA DAMAI,,
131,11,1107,110704,1107042030,CEURIH ALUE,,
132,11,1102,110202,1102022002,DARUL AMAN,,
133,11,1102,110202,1102022016,LAWE TUA MAKMUR,,
134,11,1102,110202,1102022009,KUTE TENGAH,,
135,11,1102,110202,1102022015,SUKA MAJU,,
136,11,1102,110202,1102022011,KEDATARAN GABUNGAN,,
137,11,1102,110202,1102022010,TANAH BARU,,
138,11,1102,110202,1102022020,SUKA JAYA,,
139,11,1102,110202,1102022018,LAWE SERKE,,
140,11,1102,110202,1102022022,SEBUNGKE,,
141,11,1102,110202,1102022021,ENMIYA BATU DUA RATUS,,
142,11,1102,110202,1102022024,LAWE LONING SEPAKAT,,
